intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",68.7926262952576
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",70.56237156798471
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",70.26139498079623
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",68.72786790413618
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",70.49594721551352
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",70.1952539546145
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",69.60018298473064
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",71.39070329848498
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",71.08619354692337
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",67.16332724648133
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",68.89115749946411
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",68.5973093051517
A,2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",69.50659684629457
A,2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",71.29470958186778
A,2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",70.99060928169757
A,2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",64.4167407075663
A,2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",66.0739128274736
A,2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",65.79208130249656
A,2,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",72.10930168475537
A,2,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",73.9643710817068
A,2,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",73.64888361314479
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",69.98952748577786
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",71.58059979965888
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",70.47951973988611
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",69.65192142879624
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",71.23531894232416
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",70.13955012425788
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",70.02990369051058
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",71.62189387687621
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",70.5201786158738
A,2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",67.99387761179045
A,2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",69.53958280609282
A,2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",68.46989844738377
A,2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",70.90402990231888
A,2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",72.5158916046728
A,2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",71.40042452999023
A,2,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",66.78498368648758
A,2,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",68.30320708852668
A,2,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",67.25254113218936
A,2,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",69.9401548445007
A,2,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",71.5301047698556
A,2,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",70.42980144387089
A,2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",72.03577530495028
A,2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",70.35684229844388
A,2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",70.2610599256149
A,2,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",70.96201919671526
A,2,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",69.30811215214823
A,2,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",69.21375749919109
A,2,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",66.05901156803651
A,2,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",64.51937859498592
A,2,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",64.43154322640777
A,2,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",77.47088061208997
A,2,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",75.66527196899378
A,2,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",75.56226280807667
A,2,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",67.46945914545454
A,2,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",65.89695296486715
A,2,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",65.80724219458556
A,2,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",63.10629830241184
A,2,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",61.6354840203439
A,2,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",61.55157472713133
A,2,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",62.0229812062902
